"NOM,N,4,0","PRSTR,N,4,0","CODE,C,5","NAME,C,254"
413,50,,Глава III. ФИНАНСОВЫЙ РЕЗУЛЬТАТ ПОСЛЕ НАЛОГООБЛОЖЕНИЯ И ЕГО ИСПОЛЬЗОВАНИЕ
414,30,,Раздел 1. Финансовый результат после налогообложения
415,10,31001, Прибыль после налогообложения (символ 01000 минус символ 28101)
416,10,31002, Убыток после налогообложения (символ 02000 плюс символ 28101 либо символ 28101 минус символ 01000)
417,30,,"Раздел 2. Выполаты из прибыли после налогообложения (балансовый счет №70612), при составлении годового отчета - балансовый счет №70712)"
418,10,32001, Распределение между акционерами (участниками) в виде дивидендов
419,10,32002, Отчисления на формирование и пополнение резервного фонда
420,130,32101,Итого по разделу 2
421,30,,Раздел 3. Результат по отчету
422,10,33001, Неиспользованная прибыль (символ 31001 минус символ 32101)
423,10,33002, Убыток (символ 31002 плюс символ 32101 либо символ 32101 минус символ 31001)
424,50,,СПРАВОЧНО:
425,10,40001,"1.  Расходы по развитию бизнеса, всего,"
426,10,,    в том числе:
427,10,40011,"1.1. расходы на оплату труда, включая премии и компенсации (часть символа 26101)"
428,10,40012,"1.2. налоги и сборы в виде начислений на заработную плату, уплачиваемые работодателями в соответствии с законодательством Российской Федерации (часть символа 26102)"
429,10,40013,"1.3. расходы, связанные с перемещением персонала (кроме расходов на оплату труда) (часть символа 26103)"
430,10,40014,1.4. другие расходы на содержание персонала (часть символа 26104)
431,10,40015,1.5. амортизация основных средств (часть символа 26201)
432,10,40016,"1.6. амортизация основных средств, полученных в финансовую аренду (лизинг) (часть символа 26202)"
433,10,40017,1.7. амортизация нематериальных активов (часть символа 26203)
434,10,40018,1.8. расходы по ремонту основных средств и другого имущества (часть символа 26301)
435,10,40019,1.9. расходы по содержанию основных средств и другого имущества (включая коммунальные расходы) (часть символа 26302)
436,10,40110,1.10. расходы по арендной плате по арендованным основным средствам и другому имуществу (часть символа 26303)
437,10,40111,1.11. расходы по списанию стоимости материальных запасов (часть символа 26305)
438,10,40112,1.12. расходы по подготовке и переподготовке кадров (часть символа 26401)
439,10,40113,1.13. расходы по служебным командировкам (часть символа 26402)
440,10,40114,1.14. расходы по охране (часть символа 26403)
441,10,40115,1.15. расходы по рекламе (часть символа 26404)
442,10,40116,1.16. представительские расходы (часть символа 26405)
443,10,40117,"1.17. расходы за услуги связи, телекоммуникационных и информационных систем (часть символа 26406)"
444,10,40118,1.18. расходы по страхованию (часть символа 26410)
445,10,40119,1.19. другие организационные и управленческие расходы (часть символа 26412)
